question,question_type,question_number,year,file_name
Analyze the differences between the political ideals expressed in the visual arts of the Renaissance (fifteenth–sixteenth centuries) and the political ideals expressed in the visual arts of the Neoclassical/Romantic period (eighteenth–nineteenth centuries).,LEQ,2,2013,ap13_frq_euro_history.txt
Analyze the differences between the motives that shaped European colonial expansion in the period 1450–1750 and the motives that shaped European colonial expansion in the period 1850–1914.,LEQ,3,2013,ap13_frq_euro_history.txt
Analyze the differences between the impact of Newtonian physics on European culture and the impact of Darwinian biology on European culture.,LEQ,4,2013,ap13_frq_euro_history.txt
Analyze the factors that led to the expansion of women’s participation in the paid workforce in Europe over the course of the twentieth century.,LEQ,5,2013,ap13_frq_euro_history.txt
Analyze the factors that led to the expansion of the welfare state in Western Europe in the mid-twentieth century.,LEQ,6,2013,ap13_frq_euro_history.txt
Analyze the factors that led to the rise of right-wing authoritarian regimes in continental Europe in the interwar period (1919 to 1939).,LEQ,7,2013,ap13_frq_euro_history.txt
"How did Europeans perceive the role of organized sports in Europe during the period from 1860 to 1940 ? Historical Background: In Europe after 1870, organized sports grew in popularity as leisure time expanded. Rules for football (also called soccer), the most popular and international of team sports, were standardized by 1860. In the late 1800’s, numerous national sports associations and clubs were founded across Europe. Reflecting the rise in international sports competition, the modern Olympic Games were established in 1896 in Athens.",DBQ,1,2006,_ap06_frq_european_hi_51759.txt
Compare and contrast the relationship between the artist and society in the Renaissance/Reformation period to the relationship between the artist and society in the late nineteenth century.,LEQ,2,2006,_ap06_frq_european_hi_51759.txt
"Analyze the aims, methods, and degree of success of the Catholic Reformation (Counter-Reformation) in the sixteenth century.",LEQ,3,2006,_ap06_frq_european_hi_51759.txt
"Analyze the effects of the Columbian exchange (the interchange of plants, animals, and diseases between the Old World and the New World) on the population and economy of Europe in the period 1550 to 1700.",LEQ,4,2006,_ap06_frq_european_hi_51759.txt
Compare and contrast the social and economic roles of the state in seventeenth- and eighteenth-century Europe (before 1789) to the social and economic roles of the state in Europe after the Second World War.,LEQ,5,2006,_ap06_frq_european_hi_51759.txt
"In the period 1815-1900, political liberalization progressed much further in western Europe than in Russia. Analyze the social and economic reasons for this difference.",LEQ,6,2006,_ap06_frq_european_hi_51759.txt
"Considering the period 1933 to 1945, analyze the economic, diplomatic, and military reasons for Germany’s defeat in the Second World War.",LEQ,7,2006,_ap06_frq_european_hi_51759.txt
Describe one prior intellectual change that influenced the events described in the passage. Explain why the pattern of social changes that Jaurès describes led to the French Revolution. Explain how an ideology of the 1800s influenced Jaurès’ interpretation of the causes of the French Revolution.,SAQ,1,2018,ap18-frq-european-history.txt
Describe one cause of the international situation depicted in the cartoon. Explain one effect of the international situation depicted in the cartoon. Explain the cartoonist’s perspective on the international situation depicted in the cartoon.,SAQ,2,2018,ap18-frq-european-history.txt
"Answer (a), (b), and (c). Describe one reason for Martin Luther’s critique of the Catholic Church in the early 1500s. Describe one Catholic response in the 1500s to Luther’s critique. Explain how Luther’s protest contributed to social change in Europe in the period 1517 to 1600.",SAQ,3,2018,ap18-frq-european-history.txt
"Answer (a), (b), and (c). Describe one of Lenin’s critiques of the Russian monarchy. Describe one effect of Lenin’s critique on Russian politics. Explain how Stalin’s policies departed from Lenin’s policies.",SAQ,4,2018,ap18-frq-european-history.txt
Evaluate whether the Thirty Years’ War was fought primarily for religious or primarily for political reasons.,DBQ,1,2018,ap18-frq-european-history.txt
Evaluate the extent to which Europe’s interactions with its overseas colonies in the period 1500 to 1650 differed from its interactions with its overseas colonies in the period 1815 to 1914.,LEQ,2,2018,ap18-frq-european-history.txt
Evaluate the extent to which the political consequences of Britain’s Glorious Revolution differed from the political consequences of the French Revolution.,LEQ,3,2018,ap18-frq-european-history.txt
Evaluate the extent to which Europe’s political relationship with the United States in the period 1918 to 1939 differed from Europe’s political relationship with the United States in the period 1945 to 1989.,LEQ,4,2018,ap18-frq-european-history.txt
Identify TWO specific examples of scientific discovery that support Cohen’s argument and explain how each one supports his argument. Explain ONE way in which the shift in scientific inquiry described by Cohen affected European views of society or politics in the seventeenth and eighteenth centuries.,DBQ,1,2016,ap16_frq_european_history.txt
"Describe ONE important difference between the views of commerce and prosperity expressed in the two passages. For EACH of the passages, identify and explain ONE factor (such as a historical development, an intellectual or philosophical trend, or a religious belief) that likely informed the view of commerce and prosperity expressed in that passage.",LEQ,2,2016,ap16_frq_european_history.txt
"Many historians contend that the development of railroads in the early 1800s was a significant turning point in European history. Identify TWO specific pieces of evidence that support the contention, and explain how each piece supports the contention. Identify ONE specific piece of evidence that undermines the contention, and explain how it undermines the contention.",LEQ,3,2016,ap16_frq_european_history.txt
" Based on the table and your knowledge of European history, identify and explain TWO broader trends that contributed to the changes in the patterns of employment in France between 1800 and 2012. Based on the table and your knowledge of European history, identify and explain ONE effect of the transformations reflected in the table on economic and social life in Western Europe.",LEQ,4,2016,ap16_frq_european_history.txt
Evaluate whether the policies of Otto von Bismarck’s government represented traditional conservatism or a new kind of conservatism in nineteenth-century Europe.,LEQ,5,2016,ap16_frq_european_history.txt
Describe and explain significant continuities and changes in attitudes toward and the experiences of European women from the Reformation through the Enlightenment. (Historical thinking skill: Continuity and Change),LEQ,6,2016,ap16_frq_european_history.txt
Describe and explain significant continuities and changes in attitudes toward and the experiences of European women from the First World War through the Cold War. (Historical thinking skill: Continuity and Change),LEQ,7,2016,ap16_frq_european_history.txt
"Identify the issues raised by the growth of Manchester and analyze the various reactions to those issues over the course of the nineteenth century. Historical Background: Manchester, England, became a leading textile manufacturing center soon after its first large mechanized cotton mill was built in 1780. Its population increased from 18,000 in 1750 to over 300,000 by the census of 1851, much of this made up of the working class and immigrants. In the 1832 Reform Bill, Manchester was granted representation in Parliament and middle-class men received the vote. After Queen Victoria’s visit in 1851, Manchester was granted a royal charter.",DBQ,1,2002,euro_hist_frq_02_10361.txt
Compare and contrast the religious policies of TWO of the following: Elizabeth I of England Catherine de Médicis of France Isabella I of Spain,LEQ,2,2002,euro_hist_frq_02_10361.txt
Analyze at least TWO factors that account for the rise and TWO factors that explain the decline of witchcraft persecution and trials in Europe in the period from 1580 to 1750.,LEQ,3,2002,euro_hist_frq_02_10361.txt
Analyze the impact of the First World War on European culture and society in the interwar period (1919-1939).,LEQ,4,2002,euro_hist_frq_02_10361.txt
In what ways and to what extent did absolutism affect the power and status of the European nobility in the period 1650 to 1750 ? Use examples from at least TWO countries.,LEQ,5,2002,euro_hist_frq_02_10361.txt
"Many historians have suggested that since 1945, nationalism has been on the decline in Europe. Using both political and economic examples from the period 1945 to 2000, evaluate the validity of this interpretation.",LEQ,6,2002,euro_hist_frq_02_10361.txt
Compare and contrast the foreign policy goals and achievements of Metternich (1815-1848) and Bismarck (1862-1890).,LEQ,7,2002,euro_hist_frq_02_10361.txt
Analyze attitudes toward and responses to “the poor” in Europe between approximately 1450 and 1700.,DBQ,1,2004,ap04_frq_euro_history_36178.txt
Compare and contrast the extent to which the French Revolution (1789–1799) and the Russian Revolution (1917–1924) changed the status of women.,LEQ,2,2004,ap04_frq_euro_history_36178.txt
Analyze the ways in which technology and mass culture contributed to the success of dictators in the 1920’s and 1930’s.,LEQ,3,2004,ap04_frq_euro_history_36178.txt
Analyze the factors working for and against European unity from 1945 to 2001.,LEQ,4,2004,ap04_frq_euro_history_36178.txt
Analyze the influence of humanism on the visual arts in the Italian Renaissance. Use at least THREE specific works to support your analysis.,LEQ,5,2004,ap04_frq_euro_history_36178.txt
Assess the impact of the Scientific Revolution on religion and philosophy in the period 1550 to 1750.,LEQ,6,2004,ap04_frq_euro_history_36178.txt
Contrast the impact of nationalism in Germany and the Austrian Empire from 1848 to 1914.,LEQ,7,2004,ap04_frq_euro_history_36178.txt
Analyze the concerns and goals of participants in the Pilgrimage of Grace and of those who opposed the movement.,DBQ,1,2004,ap04_frq_euro_history_36179.txt
Analyze the shifts in the European balance of power in the period between 1763 and 1848.,LEQ,2,2004,ap04_frq_euro_history_36179.txt
To what extent did Romanticism challenge Enlightenment views of human beings and of the natural world?,LEQ,3,2004,ap04_frq_euro_history_36179.txt
Contrast the ways in which the paintings shown express the artistic and intellectual concerns of the eras in which the works were created.,LEQ,4,2004,ap04_frq_euro_history_36179.txt
Analyze the participation of European women in the economy and in politics from 1914 to 1939. Use examples from at least TWO countries.,LEQ,5,2004,ap04_frq_euro_history_36179.txt
Compare and contrast the ways that seventeenth-century absolute monarchs and twentieth-century dictators gained and maintained their power.,LEQ,6,2004,ap04_frq_euro_history_36179.txt
Explain the reasons for the rise of the Netherlands as a leading commercial power in the period 1550-1650.,LEQ,7,2004,ap04_frq_euro_history_36179.txt
"Analyze the causes of and the responses to the peasants’ revolts in the German states, 1524–1526. Historical Background: In late 1524, peasants, craftsmen, and poor soldiers formed bands and pillaged throughout a large area of the Holy Roman Empire. During the revolt, some of the rebel bands authored statements of grievances called Articles. Although most bands did not coordinate their activities, several groups met in Memmingen, Swabia, during March 1525 at a gathering known as the Peasant Parliament. After a series of battles, the authorities managed to suppress the revolts. More than 100,000 rebels and others were killed.",DBQ,1,2008,ap08_euro_hist_frq.txt
Analyze the methods and degrees of success of Russian political and social reform from the period of Peter the Great (1689–1725) through Catherine the Great (1762–1796).,LEQ,2,2008,ap08_euro_hist_frq.txt
Describe and analyze the changes that led to Europe’s rapid population growth in the eighteenth century.,LEQ,3,2008,ap08_euro_hist_frq.txt
Analyze the economic and social challenges faced by Western Europe in the period from 1945 to 1989.,LEQ,4,2008,ap08_euro_hist_frq.txt
"European women’s lives changed in the course of the nineteenth century politically, economically, and socially. Identify and explain the reasons for those changes.",LEQ,5,2008,ap08_euro_hist_frq.txt
Analyze the major factors responsible for the rise of anti-Semitism in nineteenth-century Europe.,LEQ,6,2008,ap08_euro_hist_frq.txt
"Analyze the ways in which the events of the French Revolutionary and Napoleonic period (1789–1815) led people to challenge Enlightenment views of society, politics, and human nature.",LEQ,7,2008,ap08_euro_hist_frq.txt
"Analyze fascist Italy’s population policy and reactions to it. Historical Background: With the March on Rome in October 1922, Benito Mussolini became the Prime Minister of Italy and proclaimed a fascist revolution. He consolidated his power by forming the Fascist National Party in February 1923 and by eliminating political opposition by the end of 1924. Mussolini and his party ruled Italy through an authoritarian dictatorship until 1943.",DBQ,1,2002,b_euro_hist_frq_02_10362.txt
To what extent did political authorities influence the course of the Protestant Reformation in the sixteenth century?,LEQ,2,2002,b_euro_hist_frq_02_10362.txt
Compare and contrast the goals and major policies of Peter the Great of Russia (ruled 1682-1725) with those of Frederick the Great of Prussia (ruled 1740-1786).,LEQ,3,2002,b_euro_hist_frq_02_10362.txt
"Between 1945 and 1970, virtually all European colonies achieved independence. Discuss the changes within Europe that contributed to this development.",LEQ,4,2002,b_euro_hist_frq_02_10362.txt
Describe and analyze the differences in the ways in which artists and writers portrayed the individual during the Italian Renaissance and the Romantic era of the late eighteenth and early nineteenth centuries.,LEQ,5,2002,b_euro_hist_frq_02_10362.txt
Compare and contrast two theories of government introduced in the period from 1640 to 1780.,LEQ,6,2002,b_euro_hist_frq_02_10362.txt
Both Jean-Baptiste Colbert (1619-1683) and Adam Smith (1723-1790) sought to increase the wealth of their respective countries. How did their recommendations differ?,LEQ,7,2002,b_euro_hist_frq_02_10362.txt
Analyze various arguments that emerged over the course of the nineteenth century about how to improve the lives of European workers.,DBQ,1,2012,ap12_frq_euro_hist.txt
Analyze various ways in which technological developments contributed to the expansion of state power in the period 1450 to 1600.,LEQ,2,2012,ap12_frq_euro_hist.txt
Analyze various ways in which religious reform in the sixteenth and seventeenth centuries influenced the arts.,LEQ,3,2012,ap12_frq_euro_hist.txt
Analyze various ways in which government policies during the Revolutionary and Napoleonic era contributed to a greater sense of French national identity in the period 1789 to 1815.,LEQ,4,2012,ap12_frq_euro_hist.txt
Analyze the ways in which the rise of the middle class affected family structure and gender roles in Europe in the 1800s.,LEQ,5,2012,ap12_frq_euro_hist.txt
Analyze various ways in which ideology shaped the foreign policy of Nazi Germany in the period 1933 through 1945.,LEQ,6,2012,ap12_frq_euro_hist.txt
Analyze various factors that contributed to the process of decolonization in the period 1914 to 1975.,LEQ,7,2012,ap12_frq_euro_hist.txt
"For the period 1861 to 1914, analyze how various Russians perceived the condition of the Russian peasantry and explain how they proposed to change that condition.",DBQ,1,1999,euro_hist_99.txt
Contrast how a Marxist and a Social Darwinist would account for the differences in the conditions of these two mid-nineteenth-century families.,LEQ,2,1999,euro_hist_99.txt
Analyze the ways in which the contrasting styles of these two paintings reflect the different economic values and social structures of France and the Netherlands in the seventeenth century.,LEQ,3,1999,euro_hist_99.txt
"Contrast the historical context, beliefs, and behavior of quepean youth represented by these two photographs.",LEQ,4,1999,euro_hist_99.txt
"Machiavelli suggested that a ruler should behave both ""like a lion"" and ""like a fox."" Analyze the policies of TWO of the following quepean rulers, indicating the degree to which they successfully followed Machiavellis suggestion.
        Choose two: Elizabeth I of England
        Henry IV of France
        Catherine the Great of Russia
        Frederick II of Prussia",LEQ,5,1999,euro_hist_99.txt
"Discuss the relationship between politics and religion by examining the wars of religion. Choose TWO specific examples from the following:
        Dutch Revolt  French Wars of Religion  English Civil War Thirty Years' War",LEQ,6,1999,euro_hist_99.txt
Compare and contrast the degree of success of treaties negotiated in Vienna (1814-1815) and Versailles (1919) in achieving quepean stability.,LEQ,7,1999,euro_hist_99.txt
Describe one argument the author makes regarding the revolutions discussed in the passage. Identify one piece of evidence not found in the source that would support the author’s claim regarding representative government. Explain one limitation of de Staël’s view of the French Revolution.,SAQ,1,2021,ap21-frq-european-history.txt
Describe one way in which the image depicts a significant feature of the Scientific Revolution. Describe King Louis XIV’s likely purpose in commissioning the painting. Explain one way in which developments shown in the image changed or continued during the Enlightenment.,SAQ,2,2021,ap21-frq-european-history.txt
"Describe one specific example of a change in the role of religion in European daily life during the period 1450 to 1700. Describe one specific example of a continuity in the role of religion in European daily life during the period 1450 to 1700. Using a specific example from the period 1450 to 1700, explain how political authorities in Europe attempted to control religious beliefs or practice.",SAQ,3,2021,ap21-frq-european-history.txt
"Describe one specific example of a change in the role of the state in European daily life during the period 1900 to 1945. Describe one specific example of a change in the role of the state in daily life in Western Europe during the period 1945 to 2000. Using a specific example from the period 1945 to 2000, explain how Eastern European states attempted to limit individual rights.",SAQ,4,2021,ap21-frq-european-history.txt
Evaluate whether or not British imperial rule in India during the 1800s was primarily influenced by liberalism.,DBQ,1,2021,ap21-frq-european-history.txt
Evaluate the most significant effect of the printing press during the period 1450 to 1650.,LEQ,2,2021,ap21-frq-european-history.txt
Evaluate the most significant effect of the Enlightenment on European society during the period 1688 to 1815.,LEQ,3,2021,ap21-frq-european-history.txt
Evaluate the most significant cultural effect of the First World War during the period 1918 to 1939.,LEQ,4,2021,ap21-frq-european-history.txt
Describe and analyze concepts of nobility in France over the period from the late sixteenth century to the late eighteenth century.,DBQ,1,2007,ap07_eurohist_formb_frq.txt
Evaluate the influence of Renaissance humanism on Catholic reforms and the Protestant Reformation.,LEQ,2,2007,ap07_eurohist_formb_frq.txt
"Referring to specific individuals or works, discuss the ways in which TWO of the following expressed the concept of nationalism in the nineteenth century.",LEQ,3,2007,ap07_eurohist_formb_frq.txt
"Using the two Dutch paintings above and your historical knowledge of the period, discuss how the paintings reflect the economy and culture of the Netherlands in the seventeenth century.",LEQ,4,2007,ap07_eurohist_formb_frq.txt
To what extent did the structure of Russian government and society affect its economic development in the eighteenth and nineteenth centuries?,LEQ,5,2007,ap07_eurohist_formb_frq.txt
"“In the second half of the nineteenth century, most European governments were conservative.”",LEQ,6,2007,ap07_eurohist_formb_frq.txt
Analyze how the Balkan crises from 1903 to 1914 and the crises in central and eastern Europe from 1935 to 1939 threatened Europe’s balance of power. THIS SPACE MAY BE USED FOR PLANNING YOUR ANSWER.,LEQ,7,2007,ap07_eurohist_formb_frq.txt
Analyze views concerning immigration to Europe in the second half of the twentieth century and explain how these views changed.,DBQ,1,2011,ap11_frq_european_history_formb.txt
Describe the challenges to royal authority in eastern Europe in the seventeenth and eighteenth centuries and evaluate the effectiveness of those challenges.,LEQ,2,2011,ap11_frq_european_history_formb.txt
Describe and analyze the impact of the rise of Russia on international relations in Europe in the period from 1685 to 1815.,LEQ,3,2011,ap11_frq_european_history_formb.txt
"Contrast Renaissance Florence with Reformation Geneva with respect to religion, government, and everyday life.",LEQ,4,2011,ap11_frq_european_history_formb.txt
"In the late nineteenth century, millions of workers and intellectuals proclaimed themselves socialists, yet few worked toward the violent revolution predicted by Karl Marx. Analyze the major factors that account for this phenomenon.",LEQ,5,2011,ap11_frq_european_history_formb.txt
Analyze the extent to which conservatives in continental Europe were successful in achieving their goals in the years between 1815 and 1851. Draw your examples from at least two states.,LEQ,6,2011,ap11_frq_european_history_formb.txt
Analyze the impact of science and technology on European society in the period from 1800 to 1900.,LEQ,7,2011,ap11_frq_european_history_formb.txt
