question,question_type,question_number,year,question_url,exam_edition
"Identify ONE factor that increased tensions between Great Britain and its North American colonies in theperiod 1763–1776, and briefly explain how this factor helped lead to the American Revolution. Identify a SECOND distinct factor that increased tensions between Great Britain and its North Americancolonies in the same period, and briefly explain how this factor helped lead to the American Revolution. Identify a THIRD distinct factor that increased tensions between Great Britain and its North Americancolonies in the same period, and briefly explain how this factor helped lead to the American Revolution.",SAQ,3,2016,https://secure-media.collegeboard.org/digitalServices/pdf/ap/ap16_frq_us_history.pdf,
"Briefly explain ONE major difference between Josephson’s and Brands’s historical interpretations of businessleaders who rose to prominence between 1865 and 1900. Briefly explain how ONE person, event, or development from the period 1865–1900 that is not explicitlymentioned in the excerpts could be used to support Josephson’s interpretation. Briefly explain how ONE person, event, or development from the period 1865–1900 that is not explicitlymentioned in the excerpts could be used to support Brands’s interpretation.",SAQ,4,2016,https://secure-media.collegeboard.org/digitalServices/pdf/ap/ap16_frq_us_history.pdf,
"Briefly explain ONE major difference between Josephson’s and Brands’s historical interpretations of businessleaders who rose to prominence between 1865 and 1900. Briefly explain how ONE person, event, or development from the period 1865–1900 that is not explicitlymentioned in the excerpts could be used to support Josephson’s interpretation. Briefly explain how ONE person, event, or development from the period 1865–1900 that is not explicitlymentioned in the excerpts could be used to support Brands’s interpretation.",DBQ,1,2016,https://secure-media.collegeboard.org/digitalServices/pdf/ap/ap16_frq_us_history.pdf,
Explain the causes of the rise of a women’s rights movement in the period 1940–1975.,LEQ,2,2016,https://secure-media.collegeboard.org/digitalServices/pdf/ap/ap16_frq_us_history.pdf,
"Evaluate the extent to which the ratification of the Fourteenth and Fifteenth Amendments to the Constitutionmarked a turning point in the history of United States politics and society. In the development of your argument, explain what changed and what stayed the same from the periodimmediately before the amendments to the period immediately following them. (Historical thinking skill:Periodization)",LEQ,3,2016,https://secure-media.collegeboard.org/digitalServices/pdf/ap/ap16_frq_us_history.pdf,
Briefly explain ONE important similarity between the British colonies in the Chesapeake region and the British colonies in New England in the period from 1607 to 1754.,SAQ,1,2015,https://secure-media.collegeboard.org/digitalServices/pdf/ap/ap15_frq_us_history.pdf,
"Briefly explain ONE implication for public policy of John Muir’s view on land use. Briefly explain ONE way in which an implication for public policy of Theodore Roosevelt’s view contrasts with the implication for public policy of Muir’s view. cIdentify ONE specific example of land use policy in the United States from 1890 to 1945 and briefly explain how the example is consistent with the view of either Muir or Roosevelt. “As to the history of the revolution, my ideas may be peculiar, perhaps singular. What do we mean by the revolution? The war? That was no part of the revolution; it was only an effect and consequence of it. The revolution was in the minds of the people, and this was effected from 1760 to 1775, in the course of fifteen years, before a drop of blood was shed at Lexington.” Former president John Adams to former president Thomas Jefferson, August 1815 “There is nothing more common than to confound the terms of the American Revolution with those of the late American war. The American war is over: but this is far from being the case with the American Revolution. On the contrary, nothing but the first act of the great drama is closed. It remains yet to establish and perfect our new forms of government; and to prepare the principles, morals, and manners of our citizens, for these forms of government, after they are established and brought to perfection.” Benjamin Rush, signer of the Declaration of Independence and delegate to the Continental Congress, January 1787",SAQ,2,2015,https://secure-media.collegeboard.org/digitalServices/pdf/ap/ap15_frq_us_history.pdf,
Briefly describe ONE significant difference between Adams’ understanding and Rush’s understanding of the American Revolution. Briefly explain how ONE specific historical event or development from the period between 1760 and 1800 could be used to support Adams’ interpretation. Briefly explain how ONE specific historical event or development from the period between 1760 and 1800 could be used to support Rush’s interpretation.,SAQ,3,2015,https://secure-media.collegeboard.org/digitalServices/pdf/ap/ap15_frq_us_history.pdf,
Briefly explain why ONE of the following best marks the beginning of industrialization in the United States. The market revolution in the first half of the 1800s The Civil War era in the middle of the 1800s The rise of big business in the second half of the 1800s Provide ONE example of an event or development that supports your explanation in (a). Provide specific historical evidence that explains why ONE of the other options is less convincing as the possible beginning of industrialization in the United States.,SAQ,4,2015,https://secure-media.collegeboard.org/digitalServices/pdf/ap/ap15_frq_us_history.pdf,
"Explain the reasons why a new conservatism rose to prominence in the United States between 1960 and 1989. Background Information The graph below is for background information. Analysis of it is not required and will not count toward the required number of documents. The figure shows a horizontal bar graph titled UNEMPLOYMENT PLUS INFLATION, 1961 TO 1988. There is a horizontal bar for each year; the years are grouped by presidents. A key indicates the lightly shaded portions of the bar represent the unemployment rate, and darkly shaded portions of the bar represent the inflation rate. The data in the graph is approximately as follows. John Kennedy, 1961 to 1962: 1961 total seven point seven six, three fourths of the bar is lightly shaded and one fourth is darkly shaded. 1962 total six point seven seven, three fourths of the bar is lightly shaded and one fourth is darkly shaded. Lyndon Johnson, 1963 to 1968: 1963 total six point eight eight, three fourths of the bar is lightly shaded and one fourth is darkly shaded. 1964 total six point four four, three fourths of the bar is lightly shaded and one fourth is darkly shaded. 1965 total six point one zero, two thirds of the bar is lightly shaded and one third is darkly shaded. 1966 total six point eight zero, one half of the bar is lightly shaded and one half is darkly shaded. 1967 total six point six two, one half of the bar is lightly shaded and one half is darkly shaded. 1968 total seven point eight three, three fourths of the bar is lightly shaded and one fourth is darkly shaded. Richard Nixon, 1969 to 1973: 1969 total eight point nine five, slightly more than one third of the bar is lightly shaded and slightly less than two thirds is darkly shaded. 1970 total ten point eight two, slightly less than one half of the bar is lightly shaded and slightly more than one half is darkly shaded. 1971 total ten point two five, slightly more than one half of the bar is lightly shaded and one fourth is darkly shaded. 1972 total eight point eight seven, three fourths of the bar is lightly shaded and one fourth is darkly shaded. 1973 total eleven point zero two, slightly less than one half is lightly shaded and slightly more than one half is darkly shaded. Gerald Ford, 1974 to 1976: 1974 total sixteen point six seven, one third of the bar is lightly shaded and two thirds is darkly shaded. 1975 total seventeen point six eight, slightly less than one half of the bar is lightly shaded and slightly more than one half is darkly shaded. 1976 total thirteen point four five, slightly more than one half of the bar is lightly shaded and slightly less than one half is darkly shaded. Jimmy Carter, 1977 to 1980: 1977 total thirteen point five five, one half of the bar is lightly shaded and one half of the bar is darkly shaded. 1978 total thirteen point six nine, slightly less than one half of the bar is lightly shaded and slightly more than one half is darkly shaded. 1979 total seventeen point zero seven, one third of the bar is lightly shaded and two thirds of the bar is darkly shaded. 1980 total twenty point seven six, one third of the bar is lightly shaded and two thirds of the bar is darkly shaded. Ronald Reagan, 1981 to 1988: 1981 total seventeen point nine seven, less than one half of the bar is lightly shaded and more than one half of the bar is darkly shaded. 1982 total fifteen point eight seven, slightly less than two thirds of the bar is lightly shaded and slightly more than one third of the bar is darkly shaded. 1983 total twelve point eight two, more than two thirds of the bar is lightly shaded and less than one third of the bar is darkly shaded. 1984 total eleven point eight one, slightly less than two thirds of the bar is lightly shaded and slightly more than one third of the bar is darkly shaded. 1985 total ten point seven four, slightly more than two thirds of the bar is lightly shaded and slightly less than one third of the bar is darkly shaded. 1986 total eight point nine one, three fourths of the bar is lightly shaded and one fourth of the bar is darkly shaded. 1987 nine point eight four, two thirds of the bar is lightly shaded and one third of the bar is darkly shaded. 1988 total nine point five seven slightly less than two thirds of the bar is lightly shaded and slightly more than on third of the bar is darkly shaded.",DBQ,1,2015,https://secure-media.collegeboard.org/digitalServices/pdf/ap/ap15_frq_us_history.pdf,
"Evaluate the extent to which the Seven Years’ War (French and Indian War, 1754–1763) marked a turning point in American relations with Great Britain, analyzing what changed and what stayed the same from the period before the war to the period after it.",LEQ,2,2015,https://secure-media.collegeboard.org/digitalServices/pdf/ap/ap15_frq_us_history.pdf,
"Evaluate the extent to which the Mexican-American War (1846–1848) marked a turning point in the debate over slavery in the United States, analyzing what changed and what stayed the same from the period before the war to the period after it.",LEQ,3,2015,https://secure-media.collegeboard.org/digitalServices/pdf/ap/ap15_frq_us_history.pdf,
Briefly describe ONE major difference between Stampp’s and Foner’s historical interpretations of Reconstruction. Briefly explain how ONE specific historical event or development in the period from 1863 to 1900 not directly mentioned in the excerpts could be used to support Stampp’s argument. Briefly explain how ONE specific historical event or development in the period from 1863 to 1900 not directly mentioned in the excerpts could be used to support Foner’s argument.,SAQ,1,2021,https://apcentral.collegeboard.org/media/pdf/ap21-frq-us-history.pdf,
Briefly describe ONE historical situation in the United States during the Second World War suggested by the image. Briefly explain how ONE specific event or development in the period from 1900 to 1941 led to the historical situation for women suggested by the image. Briefly explain how ONE specific event or development in the period from 1944 to 1970 resulted from the historical situation suggested by the image.,SAQ,2,2021,https://apcentral.collegeboard.org/media/pdf/ap21-frq-us-history.pdf,
Briefly describe ONE specific historical continuity in relations between American Indians and the United States in the period from 1776 to 1815. Briefly describe ONE specific historical change in relations between American Indians and the United States in the period from 1776 to 1815. Briefly explain how ONE historical development in the period from 1815 to 1848 arose from earlier changes in relations between American Indians and the United States.,SAQ,3,2021,https://apcentral.collegeboard.org/media/pdf/ap21-frq-us-history.pdf,
Briefly describe ONE specific historical continuity in industrial work in the period from 1865 to 1898. Briefly describe ONE specific historical change in industrial work in the period from 1865 to 1898. Briefly explain how ONE specific historical development between 1865 and 1920 was a response to the change in industrial work.,SAQ,4,2021,https://apcentral.collegeboard.org/media/pdf/ap21-frq-us-history.pdf,
Evaluate the extent to which economic growth led to changes in United States society in the period from 1940 to 1970.,DBQ,1,2021,https://apcentral.collegeboard.org/media/pdf/ap21-frq-us-history.pdf,
Evaluate the extent to which trans-Atlantic voyages in the period from 1491 to 1607 affected the Americas.,LEQ,2,2021,https://apcentral.collegeboard.org/media/pdf/ap21-frq-us-history.pdf,
Evaluate the relative importance of causes of reform activity in the United States in the period from 1800 to 1848.,LEQ,3,2021,https://apcentral.collegeboard.org/media/pdf/ap21-frq-us-history.pdf,
Evaluate the extent to which international conflicts in the period from 1898 to 1930 affected the role of the United States in the world.,LEQ,4,2021,https://apcentral.collegeboard.org/media/pdf/ap21-frq-us-history.pdf,
"Briefly describe ONE major difference between Crane’s and Zagarri’s historical interpretations of theimmediate impact of the American Revolution on women. Briefly explain how ONE event, development, or circumstance from the period 1765 to 1800 that is notexplicitly mentioned in the excerpts could be used to support Crane’s argument. Briefly explain how ONE event, development, or circumstance from the period 1765 to 1800 that is notexplicitly mentioned in the excerpts could be used to support Zagarri’s argument.",SAQ,1,2019,https://apcentral.collegeboard.org/media/pdf/ap19-frq-us-history.pdf,
Briefly describe ONE historical perspective expressed in the image. Briefly explain how ONE specific event or development in the period from 1800 to 1850 contributed to the process depicted in the image. Briefly explain ONE specific historical effect in the period from 1844 to 1890 that resulted from the process depicted in the image.,SAQ,2,2019,https://apcentral.collegeboard.org/media/pdf/ap19-frq-us-history.pdf,
Confine your response to the period from 1607 to 1754. Briefly describe one difference between the economy of British North American colonies in the Chesapeake region (such as Virginia and Maryland) and the economy of the middle colonies (such as Pennsylvania and New York). Briefly describe one similarity between the economy of the Chesapeake colonies and the economy of the middle colonies. Briefly explain one reason for a difference between the economy of the Chesapeake colonies and the economy of the middle colonies.,SAQ,3,2019,https://apcentral.collegeboard.org/media/pdf/ap19-frq-us-history.pdf,
Briefly describe ONE similarity between New Deal and Great Society programs. Briefly describe ONE difference between New Deal and Great Society programs. Briefly explain ONE reason for a difference between New Deal and Great Society programs.,SAQ,4,2019,https://apcentral.collegeboard.org/media/pdf/ap19-frq-us-history.pdf,
Evaluate the extent to which the Progressive movement fostered political change in the United States from1890 to 1920.,DBQ,1,2019,https://apcentral.collegeboard.org/media/pdf/ap19-frq-us-history.pdf,
Evaluate the extent to which ideas of self-government influenced American colonial reaction to British imperialauthority in the period from 1754 to 1776.,LEQ,2,2019,https://apcentral.collegeboard.org/media/pdf/ap19-frq-us-history.pdf,
Evaluate the extent to which debates over slavery in the period from 1830 to 1860 led the United States into theCivil War.,LEQ,3,2019,https://apcentral.collegeboard.org/media/pdf/ap19-frq-us-history.pdf,
Evaluate the extent to which ideas about democracy contributed to the African American Civil Rightsmovement in the period from 1940 to 1970.,LEQ,4,2019,https://apcentral.collegeboard.org/media/pdf/ap19-frq-us-history.pdf,
Briefly describe ONE major difference between Nash’s and Maier’s historical interpretations of the origins of the American Revolution. Briefly explain how ONE specific historical event or development from the period 1754 to 1800 that is not explicitly mentioned in the excerpts could be used to support Nash’s argument. Briefly explain how ONE specific historical event or development from the period 1754 to 1800 that is not explicitly mentioned in the excerpts could be used to support Maier’s argument.,SAQ,1,2018,https://secure-media.collegeboard.org/apc/ap18-frq-us-history.pdf,
Confine your response to the period from 1500 to 1750. Briefly describe ONE specific historical difference between the role of religion in Spanish colonization and in the colonization of New England. Briefly describe ONE specific historical similarity between the role of religion in Spanish colonization and in the colonization of New England. Briefly explain ONE specific historical effect of religion on the development of society in either the Spanish colonies or the New England colonies.,SAQ,2,2018,https://secure-media.collegeboard.org/apc/ap18-frq-us-history.pdf,
Briefly describe ONE specific historical difference between the internal migration patterns within the United States in the period 1910 to 1940 and the internal migration patterns in the period 1941 to 1980.,SAQ,3,2018,https://secure-media.collegeboard.org/apc/ap18-frq-us-history.pdf,
Evaluate the relative importance of different causes for the expanding role of the United States in the world in the period from 1865 to 1910.,SAQ,4,2018,https://secure-media.collegeboard.org/apc/ap18-frq-us-history.pdf,
Evaluate the extent to which commercial exchange systems such as mercantilism fostered change in the British North American economy in the period from 1660 to 1775.,DBQ,1,2018,https://secure-media.collegeboard.org/apc/ap18-frq-us-history.pdf,
Evaluate the extent to which the Civil War fostered change in the United States economy in the period from 1861 to 1900.,LEQ,2,2018,https://secure-media.collegeboard.org/apc/ap18-frq-us-history.pdf,
Evaluate the extent to which scientific or technological innovation changed the United States economy in the period from 1950 to 2000.,LEQ,3,2018,https://secure-media.collegeboard.org/apc/ap18-frq-us-history.pdf,
Briefly explain how ONE specific historical development represents an accomplishment of the nationalgovernment under the Articles of Confederation. Briefly explain ONE specific argument critics used in the 1780s to support revising the Articles ofConfederation. Briefly explain ONE specific way in which the United States Constitution addresses a criticism of the Articlesof Confederation.,SAQ,1,2017,https://apcentral.collegeboard.org/media/pdf/ap-us-history-frq-2017.pdf?course=ap-united-states-history,
Briefly explain ONE important way in which the Second World War (1939–1945) transformed the relationshipof the United States with the rest of the world. Briefly explain ONE important way in which the Second World War transformed United States society. Briefly explain ANOTHER important way in which the Second World War transformed United States society.,SAQ,2,2017,https://apcentral.collegeboard.org/media/pdf/ap-us-history-frq-2017.pdf?course=ap-united-states-history,
Briefly explain ONE historical perspective expressed by the artist about the changes from the period1869–1877 to the period 1877–1881. Briefly explain how ONE specific event or development led to a historical change suggested by the images. Briefly explain ONE specific result in the period 1877–1900 of a historical change suggested by the images.,SAQ,3,2017,https://apcentral.collegeboard.org/media/pdf/ap-us-history-frq-2017.pdf?course=ap-united-states-history,
Briefly explain ONE major difference between VanDeMark’s and McMaster’s historical interpretations of theUnited States involvement in the Vietnam War. Briefly explain how ONE historical event or development in the period 1945 to 1975 that is not explicitlymentioned in the excerpts could be used to support VanDeMark’s interpretation. Briefly explain how ONE historical event or development in the period 1945 to 1975 that is not explicitlymentioned in the excerpts could be used to support McMaster’s interpretation.,SAQ,4,2017,https://apcentral.collegeboard.org/media/pdf/ap-us-history-frq-2017.pdf?course=ap-united-states-history,
Evaluate the extent of change in ideas about American independence from 1763 to 1783.,DBQ,1,2017,https://apcentral.collegeboard.org/media/pdf/ap-us-history-frq-2017.pdf?course=ap-united-states-history,
Evaluate the extent to which the market revolution marked a turning point in women’s lives in the United States.,LEQ,2,2017,https://apcentral.collegeboard.org/media/pdf/ap-us-history-frq-2017.pdf?course=ap-united-states-history,
"Evaluate the extent to which the ratification of the Nineteenth Amendment to the Constitution, which guaranteed women the right to vote, marked a turning point in United States women’s history.",LEQ,3,2017,https://apcentral.collegeboard.org/media/pdf/ap-us-history-frq-2017.pdf?course=ap-united-states-history,
"Usingthegraphabove,answer(a),(b),and(c). BrieflyexplainhowONEmajorhistoricalfactorcontributedtothechangedepictedonthegraph. BrieflyexplainONEspecifichistoricaleffectthatresultedfromthechangedepictedonthegraph. BrieflyexplainANOTHERspecifichistoricaleffectthatresultedfromthechangedepictedonthegraph.",SAQ,1,2016,https://secure-media.collegeboard.org/digitalServices/pdf/ap/ap16_frq_us_history.pdf,
Briefly explain ONE important similarity between the goals of the Spanish and the English in establishingcolonies in the Americas prior to 1700. Briefly explain ONE important difference between the goals of the Spanish and the English in establishingcolonies in the Americas prior to 1700. Briefly explain ONE way in which the difference you indicated incontributed to a difference in thedevelopment of Spanish and English colonial societies.,SAQ,2,2016,https://secure-media.collegeboard.org/digitalServices/pdf/ap/ap16_frq_us_history.pdf,
"Identify ONE factor that increased tensions between Great Britain and its North American colonies in theperiod 1763–1776, and briefly explain how this factor helped lead to the American Revolution. Identify a SECOND distinct factor that increased tensions between Great Britain and its North Americancolonies in the same period, and briefly explain how this factor helped lead to the American Revolution. Identify a THIRD distinct factor that increased tensions between Great Britain and its North Americancolonies in the same period, and briefly explain how this factor helped lead to the American Revolution.",SAQ,3,2016,https://secure-media.collegeboard.org/digitalServices/pdf/ap/ap16_frq_us_history.pdf,
Explain the causes of the rise of a women’s rights movement in the period 1940–1975.,SAQ,4,2016,https://secure-media.collegeboard.org/digitalServices/pdf/ap/ap16_frq_us_history.pdf,
"Evaluate the extent to which the ratification of the Fourteenth and Fifteenth Amendments to the Constitutionmarked a turning point in the history of United States politics and society. In the development of your argument, explain what changed and what stayed the same from the periodimmediately before the amendments to the period immediately following them. (Historical thinking skill:Periodization)",DBQ,1,2016,https://secure-media.collegeboard.org/digitalServices/pdf/ap/ap16_frq_us_history.pdf,
"Evaluate the extent to which United States participation in the First World War (1917–1918) marked a turningpoint in the nation’s role in world affairs. In the development of your argument, explain what changed and what stayed the same from the periodimmediately before the war to the period immediately following it. (Historical thinking skill: Periodization)",LEQ,2,2016,https://secure-media.collegeboard.org/digitalServices/pdf/ap/ap16_frq_us_history.pdf,
,LEQ,3,2016,https://secure-media.collegeboard.org/digitalServices/pdf/ap/ap16_frq_us_history.pdf,
Briefly explain ONE important similarity between the British colonies in the Chesapeake region and the British colonies in New England in the period from 1607 to 1754.,SAQ,1,2015,https://secure-media.collegeboard.org/digitalServices/pdf/ap/ap15_frq_us_history.pdf,
"Briefly explain ONE implication for public policy of John Muir’s view on land use. Briefly explain ONE way in which an implication for public policy of Theodore Roosevelt’s view contrasts with the implication for public policy of Muir’s view. cIdentify ONE specific example of land use policy in the United States from 1890 to 1945 and briefly explain how the example is consistent with the view of either Muir or Roosevelt. “As to the history of the revolution, my ideas may be peculiar, perhaps singular. What do we mean by the revolution? The war? That was no part of the revolution; it was only an effect and consequence of it. The revolution was in the minds of the people, and this was effected from 1760 to 1775, in the course of fifteen years, before a drop of blood was shed at Lexington.” Former president John Adams to former president Thomas Jefferson, August 1815 “There is nothing more common than to confound the terms of the American Revolution with those of the late American war. The American war is over: but this is far from being the case with the American Revolution. On the contrary, nothing but the first act of the great drama is closed. It remains yet to establish and perfect our new forms of government; and to prepare the principles, morals, and manners of our citizens, for these forms of government, after they are established and brought to perfection.” Benjamin Rush, signer of the Declaration of Independence and delegate to the Continental Congress, January 1787",SAQ,2,2015,https://secure-media.collegeboard.org/digitalServices/pdf/ap/ap15_frq_us_history.pdf,
