question,question_type,question_number,year,question_url,exam_edition
"The United States Constitution gave Congress and the president specific legislative powers. As a result, the interactions between the two are dynamic and complex. Describe the constitutional principle of checks and balances. Describe EACH of the following presidential powers in the legislative process: Veto State of the Union address",SAQ,3,2018,https://apcentral.collegeboard.org/media/pdf/ap18-frq-us-gov-pol.pdf, 
"In a democracy, what the majority wants should influence public policy. The opinion of the majority is sometimes, but not always, reflected in policy change. Explain how interest groups reduce the influence of public opinion on policy. Explain how EACH of the following increases the likelihood of policy change. Newly elected president National crisis",SAQ,4,2018,https://apcentral.collegeboard.org/media/pdf/ap18-frq-us-gov-pol.pdf, 
"The framers of the Constitution intended the Supreme Court to be politically insulated. Despite this intent, the Supreme Court is not completely insulated from political influences. Describe one constitutional provision that seeks to insulate the Supreme Court from public opinion. Identify a power exercised by the Supreme Court that acts as a check on another branch of the federal government. Explain how each of the following can limit the independence of the Supreme Court. • Congress • President",SAQ,1,2017,https://secure-media.collegeboard.org/ap/pdf/ap-united-states-government-politics-frq-2017.pdf, 
Interest groups play an important role in the political process. Identify the primary goal of interest groups. Describe EACH of the following strategies used by interest groups. • Lobbying • Amicus curiae,SAQ,2,2017,https://secure-media.collegeboard.org/ap/pdf/ap-united-states-government-politics-frq-2017.pdf, 
"Social Security, Medicaid, and Medicare are all mandatory spending programs, also known as entitlement programs. Identify a change in federal spending between 1970 and 2023 (projected) based on the chart above. Describe the difference between entitlement programs and discretionary programs. Describe one demographic trend that has contributed to changes in entitlement spending. Explain why changes in entitlement spending make balancing the federal budget difficult. Explain how deficit spending affects the projected trend in net interest.",SAQ,3,2017,https://secure-media.collegeboard.org/ap/pdf/ap-united-states-government-politics-frq-2017.pdf, 
The balance of power between the United States national government and state governments is shaped by the Constitution and Supreme Court rulings. Describe EACH of the following constitutional provisions. • Supremacy clause • Tenth Amendment,SAQ,4,2017,https://secure-media.collegeboard.org/ap/pdf/ap-united-states-government-politics-frq-2017.pdf, 
"Linkage institutions—such as political parties, the media, and interest groups—connect citizens to thegovernment and play significant roles in the electoral process. Describe one important function of political parties as a linkage institution in elections. Describe the influence of the media on the electoral process in each of the following roles.Gatekeeping/agenda setting Scorekeeping/horse race journalism",SAQ,1,2016,https://secure-media.collegeboard.org/digitalServices/pdf/ap/ap16_frq_us_gov_pol.pdf, 
"The United States is experiencing a dramatic change in the makeup of its population. These changes havepolitical consequences for political institutions. Identify a trend depicted in the chart. Assuming that recent voting patterns continue, explain how the trend identified in is likely to affect theelectoral success of either the Democratic Party or the Republican Party. Explain how the demographic changes shown in the chart above are likely to affect the way in which parties operate in Congress. Describe two specific actions that presidents can take to respond to the demographic changes in the chart above.",SAQ,2,2016,https://secure-media.collegeboard.org/digitalServices/pdf/ap/ap16_frq_us_gov_pol.pdf, 
The public policy process involves interactions between Congress and the bureaucracy. Identify the primary role of Congress in the policy process. Explain how divided party control of Congress can make the policy process difficult. Identify the primary role of the bureaucracy in the policy process. Explain how one of the following increases the power of the bureaucracy in the policy process.Rule making Bureaucratic discretion,SAQ,3,2016,https://secure-media.collegeboard.org/digitalServices/pdf/ap/ap16_frq_us_gov_pol.pdf, 
"The Constitution limited the power of the national government and restricted popular control; however, citizenparticipation has changed over time. Explain how each of the following constitutional features protects against the concentration of power in thenational government. Checks and balances Federalism",SAQ,4,2016,https://secure-media.collegeboard.org/digitalServices/pdf/ap/ap16_frq_us_gov_pol.pdf, 
"American politics has often been called an “invitation to struggle.” Although in recent years the president hasbeen thought to have an advantage in policy making, there are still constraints on the power of the president. Describe a power of the president in each of the following roles. Chief legislator Chief bureaucrat or chief administrator Explain how each of the following limits the president’s influence in policy making. Civil service employees The Supreme Court Describe the influence of divided government on the policy-making process.",SAQ,1,2015,https://secure-media.collegeboard.org/digitalServices/pdf/ap/ap15_frq_us_gopo.pdf, 
The framers of the Constitution devised a federal system of government that affected the relationship betweenthe national and state governments. Compare state sovereignty under the Articles of Confederation and under the Constitution. Explain how each of the following has been used to expand the power of the federal government overthe states. Commerce clause Mandates Explain how each of the following has played a role in the devolution of power from the national government to the states. Block grants Supreme Court decisions,SAQ,2,2015,https://secure-media.collegeboard.org/digitalServices/pdf/ap/ap15_frq_us_gopo.pdf, 
"The framers created the electoral college to elect the president of the United States. This system influences thecampaign strategies of presidential candidates. Describe one reason that the framers chose to use the electoral college as the method to elect thepresident. Describe the message the cartoon above conveys about presidential elections. Explain why California, Texas, and New York do not appear prominently in the cartoon above. Describe two campaign tactics presidential candidates use to win the key states identified in the cartoon above.",SAQ,3,2015,https://secure-media.collegeboard.org/digitalServices/pdf/ap/ap15_frq_us_gopo.pdf, 
The Fourteenth Amendment protects civil rights and civil liberties. Describe the difference between civil rights and civil liberties. Identify the primary clause of the Fourteenth Amendment that is used to extend civil rights. Describe a specific legislative action that extended civil rights to each of the following. Women Persons with disabilities Identify the primary clause of the Fourteenth Amendment that is used to extend civil liberties. Explain how civil liberties were incorporated by the Supreme Court in two of the following cases. Gideon v. Wainwright Mapp v. Ohio Miranda v. Arizona,SAQ,4,2015,https://secure-media.collegeboard.org/digitalServices/pdf/ap/ap15_frq_us_gopo.pdf, 
The United States Constitution’s ratification resulted from a political process that required compromise between the Federalists and Anti-Federalists. Many of the debates in government today continue to reflect the concerns of each perspective. Compare the positions of Federalists and Anti-Federalists regarding the power of the national government. Describe two features of the original Constitution that have led to a growth in the power of the national government. Explain how each of the following additions to the Constitution addressed Anti-Federalist concerns. First Amendment Tenth Amendment Explain how one of the following clauses of the Fourteenth Amendment has altered the balance of power between the state and national governments. Due process clause Equal protection clause,SAQ,1,2014,https://secure-media.collegeboard.org/digitalServices/pdf/ap/ap14_frq_US_GoPo.pdf, 
"Voter turnout is influenced by constitutional provisions, voting laws, and demographics. Identify the effect of one of the following amendments on the electorate. Fifteenth Amendment Nineteenth Amendment Twenty-sixth Amendment Explain how each of the following factors may affect voter turnout. Motor voter laws Photo identification laws Select one of the following demographic features and describe its relationship to the likelihood of a person voting in an election. Education Age Explain why voter turnout is different in each of the following. Presidential versus midterm elections Primary versus general elections",SAQ,2,2014,https://secure-media.collegeboard.org/digitalServices/pdf/ap/ap14_frq_US_GoPo.pdf, 
"Congress and the president both have a role in making foreign policy. Despite recent expansions in presidential power, there are still limits on presidential decision making in foreign policy. Describe two enumerated powers Congress has in making foreign policy. Describe two expressed powers the president has in making foreign policy. Explain how executive agreements expand the president’s ability to implement foreign policy. Explain how one of the following can limit the president’s ability to implement foreign policy. Elections Presidential approval ratings",SAQ,3,2014,https://secure-media.collegeboard.org/digitalServices/pdf/ap/ap14_frq_US_GoPo.pdf, 
Define party polarization. Identify a trend shown in the graph above. Describe two causes of party polarization in Congress. Describe one effect of party polarization on congressional policy making.,SAQ,4,2014,https://secure-media.collegeboard.org/digitalServices/pdf/ap/ap14_frq_US_GoPo.pdf, 
There are several different approaches to representation within a democratic political system. Define direct democracy. Define republican form of government. Describe one reason the framers of the United States Constitution chose a republican form of government over a direct democracy. Describe each of the models of congressional representation. x Trustee model (attitudinal view) x Delegate model (representational view) Explain why a member of Congress might sometimes act as a trustee (attitudinal view) rather than a delegate (representational view).,SAQ,1,2013,https://secure-media.collegeboard.org/digitalServices/pdf/ap/apcentral/ap13_frq_us_gov_pol.pdf, 
"Political parties play important roles in United States elections and government institutions. Over the past several decades, the influence of political parties in elections has declined while their strength in Congress has increased. Describe two important functions of political parties in United States elections. Describe one important role political parties play within Congress to promote the party’s public policy agenda. Explain how each of the following factors has weakened the influence of political parties over the political process.",SAQ,2,2013,https://secure-media.collegeboard.org/digitalServices/pdf/ap/apcentral/ap13_frq_us_gov_pol.pdf, 
"Presidents consider many factors when nominating candidates to the federal courts, and getting their nominees confirmed is often difficult. Using the chart above, describe ONE similarity between President Barack Obama’s judicial appointments and those made by President George W. Bush. Using the chart above, describe TWO differences between President Barack Obama’s judicial appointments and those made by President George W. Bush. Explain why a president’s party affiliation accounts for differences in presidential appointments to the judiciary. Describe one way a president can increase the chances of having judicial nominations to federal courts confirmed.",SAQ,3,2013,https://secure-media.collegeboard.org/digitalServices/pdf/ap/apcentral/ap13_frq_us_gov_pol.pdf, 
"The public policy process is complex. The formation, enactment, and implementation of public policy involve many government institutions. Explain the importance of each of the following in the formation of the policy agenda. Media Elections Describe the roles of each of the following in the enactment of public policy. Congressional committees Executive orders Explain the importance of each of the following in the implementation of public policy. Bureaucratic discretion x",SAQ,4,2013,https://secure-media.collegeboard.org/digitalServices/pdf/ap/apcentral/ap13_frq_us_gov_pol.pdf, 
"Members of Congress are charged with three primary duties—writing laws, overseeing the implementation of laws, and serving the needs of their constituents. Describe the role of each of the following in lawmaking. • Senate filibuster • House Rules Committee • Conference committee",SAQ,1,2012,https://secure-media.collegeboard.org/apc/ap12_frq_us_go_po.pdf, 
"Using the chart above, compare minority representation in 1960 and 2010. Explain how each of the following assisted in the removal of barriers to minority voting. • Voting Rights Act of 1965 • Twenty-fourth Amendment",SAQ,2,2012,https://secure-media.collegeboard.org/apc/ap12_frq_us_go_po.pdf, 
"The judicial branch is often assumed to be insulated from politics. However, politics affects many aspects of the judiciary. Describe two political factors that affect presidents’ decisions to appoint members of the federal judiciary. Identify two political factors that affect the confirmation process of a president’s nominees and explain how each factor complicates a confirmation. Explain how one legislative power serves as a check on court decisions. Explain how one executive power serves as a check on court decisions.",SAQ,3,2012,https://secure-media.collegeboard.org/apc/ap12_frq_us_go_po.pdf, 
"Interest groups seek to influence political processes in ways that benefit their members. In doing so, however, they may not act in the overall public interest. Describe two techniques interest groups use to influence elections. Explain how interest groups use each of the following to influence government decision making. • Issue networks (also known as iron triangles) • Amicus curiae briefs",SAQ,4,2012,https://secure-media.collegeboard.org/apc/ap12_frq_us_go_po.pdf, 
"The United States Supreme Court receives many appeals, but it hears and rules on a small percentage of cases each year. Numerous factors influence the actions of the Court, both in deciding to hear a case and in the decisions it hands down.Define judicial review.Explain how judicial review empowers the Supreme Court within the system of checks and balances.Describe the process through which the Court grants a writ of certiorari. d. Explain how each of the following influences decisions made by individual justices when deciding cases heard by the Court. • Stare decisis • Judicial activism",SAQ,1,2011,https://secure-media.collegeboard.org/apc/ap11_frq_us_government_politics.pdf, 
"Public opinion polls are a way to link the public with elected officials. Members of Congress often use polls to understand the views of their constituents, but they must also pay attention to other political considerations.Identify two characteristics of a valid, scientific, public opinion poll.Explain why each of the following enhances the influence of public opinion on the voting decisions of members of Congress. • Strong public opinion as expressed in polling results • Competitive re-elections",SAQ,2,2011,https://secure-media.collegeboard.org/apc/ap11_frq_us_government_politics.pdf, 
Nominees for the presidency of the two major parties are chosen by delegates at national conventions. How these delegates are chosen varies across states and between the political parties.Define each of the following methods used by states to choose delegates to party conventions. • Open primary • Caucus,SAQ,3,2011,https://secure-media.collegeboard.org/apc/ap11_frq_us_government_politics.pdf, 
"The Constitution of the United States creates a government of separate institutions that share power rather than a government that delegates power exclusively to a single branch. Frequently, this means that presidents and Congress struggle with each other.For each of the presidential powers below, explain one way that congressional decision making is affected by that power. • Veto power • Power to issue executive orders • Power as commander in chief",SAQ,4,2011,https://secure-media.collegeboard.org/apc/ap11_frq_us_government_politics.pdf, 
Individuals often form groups in order to promote their interests. The Constitution contains several provisions that protect the rights of individuals who try to promote their interests in a representative democracy. Explain two provisions in the Bill of Rights that protect individuals who try to influence politics. Interest groups engage in a variety of activities to affect public policy. Explain how each of the following is used by interest groups to exert influence over policy. • Grassroots mobilization • Lobbying of government institutions • Litigation,SAQ,1,2010,https://secure-media.collegeboard.org/apc/ap10_gopo_us.pdf, 
"The federal bureaucracy as part of the executive branch exercises substantial independence in implementing governmental policies and programs. Most workers in the federal bureaucracy are civil-service employees who are organized under a merit system. Describe one key characteristic of the merit system. For each of the following, describe one factor that contributes to bureaucratic independence. • The structure of the federal bureaucracy • The complexity of public policy problems",SAQ,2,2010,https://secure-media.collegeboard.org/apc/ap10_gopo_us.pdf, 
"Over the last several decades, the composition of the Democratic and Republican parties has changed in important ways. A major partisan shift has occurred in the South, but other demographic changes have also been identified. Changes in party composition are reflected at different rates in presidential elections than in congressional elections. Identify one specific trend evident in the figure above. Choose two of the following and use each to explain why southern voters from 1948 to 2000 were electing Democratic candidates to Congress more frequently than choosing Democratic candidates for the presidency. • Incumbency advantage • Gerrymandering • Differences between state and national parties",SAQ,3,2010,https://secure-media.collegeboard.org/apc/ap10_gopo_us.pdf, 
The framers of the Constitution created a political system based on limited government. The original Constitution and the Bill of Rights were intended to restrict the powers of the national government. Later constitutional developments also limited the powers of state governments. Explain how each of the following limits the powers of the national executive. • Federalism • Checks and balances,SAQ,4,2010,https://secure-media.collegeboard.org/apc/ap10_gopo_us.pdf, 
"In The Federalist paper number 10, James Madison expressed concern over the possibility that both majority and minority factions would have too much power over government, and he presented ways of minimizing that danger. The United States Constitution established a democratic government but also contained several provisions that limited majority rule. Throughout the next two centuries, the role of majority rule in the United States government and politics continued to change. Identify the part of the national government that was originally most closely tied to citizens and explain how it was tied to citizens. Explain two ways the United States Constitution limited majority rule. Choose two of the following twentieth-century developments and explain how each moved the United States from a less democratic system to a more democratic system. • Primary elections • The Seventeenth Amendment • Expansion of suffrage",SAQ,1,2009,https://secure-media.collegeboard.org/apc/ap09_frq_us_gov_pol.pdf, 
"In the United States political system, there are several linkage institutions that can connect citizens to government. Elections constitute one such institution. Because of low voter turnout, elections represent an imperfect method of linking citizens to their government. Even when there is low voter turnout, however, other linkage institutions can connect citizens to government. Describe how each of the following is related to the likelihood of voting. • Age • Education",SAQ,2,2009,https://secure-media.collegeboard.org/apc/ap09_frq_us_gov_pol.pdf, 
"In the United States Congress, the majority party exerts a substantial influence over lawmaking. However, even when one party has a numerical majority in each chamber of the United States Congress, there is no guarantee that legislation supported by that majority party will be passed by both chambers. Rules of each chamber independently influence the likelihood that legislation will pass in that chamber; legislation passed by one chamber is not always passed by the other. Describe two advantages the majority party in the United States House of Representatives has in lawmaking, above and beyond the numerical advantage that that majority party enjoys in floor voting. Describe two differences between House and Senate rules that may make it likely that legislation may pass in one chamber but not in the other. Explain how the differences identified in can lead to the passage of a bill in one chamber but not in the other.",SAQ,3,2009,https://secure-media.collegeboard.org/apc/ap09_frq_us_gov_pol.pdf, 
One of the most important ways the news media influence politics is through agenda setting. Define policy agenda. Explain how the national news media engage in agenda setting. Explain the primary reason the president tends to have an advantage over Congress in gaining media attention. Consider the table above. • Describe the difference in the viewing patterns of older and younger age-groups. • Describe the change from 1974 to 2002 in viewing habits that exists for all age categories.,SAQ,4,2009,https://secure-media.collegeboard.org/apc/ap09_frq_us_gov_pol.pdf, 
"Congressional reapportionment and redistricting are conducted every ten years. When redistricting is conducted, politicians often engage in gerrymandering. Define congressional reapportionment and explain one reason why it is important to states. Define congressional redistricting. Explain two goals of politicians when they gerrymander during redistricting. Describe two limits that the United States Supreme Court has placed on congressional redistricting.",SAQ,1,2008,https://secure-media.collegeboard.org/apc/ap08_go_po_us_frq.pdf, 
"A number of factors enable presidents to exert influence over Congress in the area of domestic policy. However, presidents are also limited in their influence over domestic policymaking in Congress. The Constitution grants the president certain enumerated powers. Describe two of these formal powers that enable the president to exert influence over domestic policy. Choose two of the following. Define each term and explain how each limits the president’s ability to influence domestic policymaking in Congress. • mandatory spending • party polarization • lame-duck period",SAQ,2,2008,https://secure-media.collegeboard.org/apc/ap08_go_po_us_frq.pdf, 
Fiscal policy and monetary policy are two tools used by the federal government to influence the United States economy. The executive and legislative branches share the responsibility of setting fiscal policy. The Federal Reserve Board has the primary role of setting monetary policy. Define fiscal policy. Describe one significant way the executive branch influences fiscal policy. Describe one significant way the legislative branch influences fiscal policy. Define monetary policy. Explain two reasons why the Federal Reserve Board is given independence in establishing monetary policy.,SAQ,3,2008,https://secure-media.collegeboard.org/apc/ap08_go_po_us_frq.pdf, 
"“The right of citizens of the United States to vote shall not be denied or abridged by the United States or by any State on account of race, color, or previous condition of servitude.” Fifteenth Amendment to the United States Constitution, 1870 Despite the ratification of the Fifteenth Amendment, voter turnout among African American citizens was very low throughout the first half of the twentieth century. Over the past 50 years, civil rights policies have changed substantially, along with a significant increase in African American voter turnout. Explain how two measures taken by some states prior to the 1960s affected voter turnout among African American citizens. Facing discrimination at the voting booth, many African American citizens turned to alternative forms of political participation. Describe two alternative forms of participation that helped bring about changes in civil rights policies. Choose one of the forms of participation you described in and explain why it was effective in changing civil rights policies.",SAQ,4,2008,https://secure-media.collegeboard.org/apc/ap08_go_po_us_frq.pdf, 
A significant feature of the electoral college is that most states have a winner-take-all system. Describe the winner-take-all feature of the electoral college. Explain one way in which the winner-take-all feature of the electoral college affects how presidential candidates from the two major political parties run their campaigns. Explain one way in which the winner-take-all feature of the electoral college hinders third-party candidates. Explain two reasons why the electoral college has not been abolished.,SAQ,1,2007,https://secure-media.collegeboard.org/apc/ap07_go_po_us_frq.pdf, 
The First Amendment includes two clauses relating to the freedom of religion. Select one of the following cases and identify the First Amendment clause upon which the United States Supreme Court based its decision. • Engel v. Vitale (school prayer) • Lemon v. Kurtzman (state funding for private religious schools),SAQ,2,2007,https://secure-media.collegeboard.org/apc/ap07_go_po_us_frq.pdf, 
"Conflicts between Congress and the President over war powers have their origin in the United States Constitution. In 1973 Congress passed the War Powers Resolution in an attempt to clarify the balance of powers between the two branches of government. Describe the primary constitutional conflict between Congress and the President over the decision to go to war. Describe two provisions of the War Powers Resolution that were designed to limit the President’s power over war making. The War Powers Resolution has received mixed reviews, but Congress has other powers over war making. Other than the constitutional power that you described in (a), identify and explain two other formal powers Congress has over war making.",SAQ,3,2007,https://secure-media.collegeboard.org/apc/ap07_go_po_us_frq.pdf, 
The framers of the United States Constitution created a federal system. Define federalism. Select two of the following and explain how each has been used to increase the power of the federal government relative to the states. • Categorical grants • Federal mandates • Selective incorporation,SAQ,4,2007,https://secure-media.collegeboard.org/apc/ap07_go_po_us_frq.pdf, 
"While interest groups and political parties each play a significant role in the United States political system, they differ in their fundamental goals. Identify the fundamental goal of interest groups in the political process. Identify the fundamental goal of major political parties in the political process. Describe two different ways by which interest groups support the fundamental goal of political parties in the political process. For one of the forms of support you described in (c), explain two different ways in which that form of support helps interest groups to achieve their fundamental goal in the political process.",SAQ,1,2006,https://secure-media.collegeboard.org/apc/_ap06_frq_gopo_us_51788.pdf, 
"In recent decades, entitlement programs have constituted a substantial portion of the United States federal budget. Social Security is the largest entitlement program in the United States. From the information in the chart above and your knowledge of United States government and politics, perform the following tasks. Define entitlement program. What is the primary source of revenue for the Social Security program? Identify one threat to the future of the Social Security program should the trends depicted in the chart above continue. Describe one demographic trend that threatens the future of the Social Security program AND explain how it is responsible for the threat that you identified in (c). Explain how any one of the trends in the chart above would change if the age of eligibility for Social Security were raised.",SAQ,2,2006,https://secure-media.collegeboard.org/apc/_ap06_frq_gopo_us_51788.pdf, 
"The United States Congress and the President together have the power to enact federal law. Federal bureaucratic agencies have the responsibility to execute federal law. However, in the carrying out of these laws, federal agencies have policy-making discretion. Explain two reasons why Congress gives federal agencies policy-making discretion in executing federal laws. Choose one of the bureaucratic agencies listed below. Identify the policy area over which it exercises policy-making discretion AND give one specific example of how it exercises that discretion. Environmental Protection Agency (EPA) Federal Communications Commission (FCC) Federal Reserve Board Describe two ways in which Congress ensures that federal agencies follow legislative intent.",SAQ,3,2006,https://secure-media.collegeboard.org/apc/_ap06_frq_gopo_us_51788.pdf, 
"The framers of the United States Constitution created a legislative system that is bicameral. However, it is not just bicameral; the framers also established two houses of distinctly different character and authority. Discuss two reasons why the framers created a bicameral legislature. Identify one power unique to the House of Representatives and explain why the framers gave the House that power. Identify one power unique to the Senate and explain why the framers gave the Senate that power.",SAQ,4,2006,https://secure-media.collegeboard.org/apc/_ap06_frq_gopo_us_51788.pdf, 
"The judicial branch is designed to be more independent of public opinion than are the legislature or the executive. Yet, the United States Supreme Court rarely deviates too far for too long from prevalent public opinion. Describe two ways in which the United States Supreme Court is insulated from public opinion. Explain how two factors work to keep the United States Supreme Court from deviating too far from public opinion.",SAQ,1,2005,https://secure-media.collegeboard.org/apc/_ap05_frq_gopo_us_45703.pdf, 
The power of the federal government relative to the power of the states has increased since the ratification of the Constitution. Describe two of the following provisions of the Constitution and explain how each has been used over time to expand federal power. • The power to tax and spend • The “necessary and proper” or “elastic” clause • The commerce clause,SAQ,2,2005,https://secure-media.collegeboard.org/apc/_ap05_frq_gopo_us_45703.pdf, 
"Initially, the United States Constitution did little to protect citizens from actions of the states. In the twentieth century, the Supreme Court interpreted the Constitution to protect the rights of citizens from state governments in a process referred to as incorporation. Define selective incorporation. For two of the following, explain how each has been incorporated. Each of your explanations must be based on a specific and relevant Supreme Court decision. • Rights of criminal defendants • First Amendment • Privacy rights",SAQ,3,2005,https://secure-media.collegeboard.org/apc/_ap05_frq_gopo_us_45703.pdf, 
The United States Congress has debated a variety of campaign finance reforms over the last decade. The proposals debated have included the following: Eliminating soft money Limiting independent expenditures Raising limits on individual contributions Select one of the listed proposals and do all of the following: • Define the proposal. • Describe an argument that proponents make in favor of the proposal. • Describe an argument that opponents make against the proposal.,SAQ,4,2005,https://secure-media.collegeboard.org/apc/_ap05_frq_gopo_us_45703.pdf, 
